% Common climate indices from 1950-present (downloaded 22-Mar-2017):
% MEI (Multivariate ENSO Index): downloaded from https://www.esrl.noaa.gov/psd/enso/mei/table.html
% PDO (Pacific Decadal Oscillation): downloaded from http://jisao.washington.edu/pdo/PDO.latest
% NPGO (North Pacific Gyre Oscillation): downloaded from http://www.o3d.org/npgo/data/NPGO.txt
% EMI (El Nino Modoki Index): downloaded from http://www.jamstec.go.jp/frsgc/research/d1/iod/DATA/emi.monthly.txt
% Nino3 (Nino3 index): downloaded from http://www.cpc.ncep.noaa.gov/data/indices/sstoi.indices
% Nino4 (Nino4 index): downloaded from http://www.cpc.ncep.noaa.gov/data/indices/sstoi.indices
% AMO (Atlantic Multidecadal Oscillation): downloaded from https://www.esrl.noaa.gov/psd/data/correlation/amon.us.long.data
% NAO (North Altantic Oscillation): downloaded from http://www.cpc.ncep.noaa.gov/products/precip/CWlink/pna/norm.nao.monthly.b5001.current.ascii.table
% ATL3 (Atlantic El Niño index): computed from ERSSTv4 (SST anomalies in 3°S-3°N 20°W-0°)
 
year,month,MEI,PDO,NPGO,EMI,Nino3,Nino4,AMO,NAO,ATL3
1950,1,-1.0620,-2.1300,-2.1884,0.1695,NaN,NaN,0.1160,0.9200,0.1729
1950,2,-1.1630,-2.9100,-1.4458,-0.3433,NaN,NaN,-0.0290,0.4000,-0.0815
1950,3,-1.3120,-1.1300,-0.9650,-0.5344,NaN,NaN,-0.1010,-0.3600,0.0990
1950,4,-1.1040,-1.2000,-0.8588,-0.1841,NaN,NaN,-0.1260,0.7300,0.0389
1950,5,-1.4330,-2.2300,-0.6341,-0.2320,NaN,NaN,-0.0530,-0.5900,0.1790
1950,6,-1.3910,-1.7700,-0.5810,-0.0484,NaN,NaN,-0.0380,-0.0600,-0.1154
1950,7,-1.2960,-2.9300,-0.7421,-0.2642,NaN,NaN,-0.0510,-1.2600,-0.2283
1950,8,-1.0530,-0.7000,-0.5494,-0.4697,NaN,NaN,0.0250,-0.0500,-0.6578
1950,9,-0.6340,-2.1400,-0.6015,-0.2250,NaN,NaN,0.0150,0.2500,-0.8183
1950,10,-0.4330,-1.3600,0.1194,-0.2988,NaN,NaN,-0.0850,0.8500,-0.8426
1950,11,-1.1650,-2.4600,-0.2571,-0.3991,NaN,NaN,0.0850,-1.2600,-0.6513
1950,12,-1.2610,-0.7600,-0.4934,-0.0598,NaN,NaN,0.0930,-1.0200,-0.9123
1951,1,-1.0700,-1.5400,-0.4785,-0.7425,NaN,NaN,0.1080,0.0800,-0.5768
1951,2,-1.1830,-1.0600,-0.4138,-0.4485,NaN,NaN,0.0030,0.7000,-0.5883
1951,3,-1.2220,-1.9000,-0.5695,-0.2611,NaN,NaN,0.0170,-1.0200,-0.7088
1951,4,-0.5230,-0.3600,-0.5611,-0.2313,NaN,NaN,0.1740,-0.2200,-0.6462
1951,5,-0.3600,-0.2500,-1.0714,-0.0343,NaN,NaN,0.1770,-0.5900,-0.3176
1951,6,0.3490,-1.0900,-1.4352,-0.4223,NaN,NaN,0.2940,-1.6400,-0.0760
1951,7,0.6660,0.7000,-1.1039,-0.3529,NaN,NaN,0.4270,1.3700,0.1386
1951,8,0.8290,-1.3700,-1.1749,-0.0040,NaN,NaN,0.3080,-0.2200,0.1347
1951,9,0.7430,-0.0800,-1.4195,-0.0229,NaN,NaN,0.2540,-1.3600,0.3991
1951,10,0.7360,-0.3200,-1.0694,-0.0318,NaN,NaN,0.2640,1.8700,0.1382
1951,11,0.7030,-0.2800,-1.0120,0.0944,NaN,NaN,0.1800,-0.3900,0.0479
1951,12,0.4780,-1.6800,-1.2247,0.1403,NaN,NaN,0.1800,1.3200,0.4747
1952,1,0.4190,-2.0100,-1.3351,0.1914,NaN,NaN,0.1770,0.9300,0.3638
1952,2,0.1170,-0.4600,-1.0910,-0.0305,NaN,NaN,0.1880,-0.8300,0.1226
1952,3,0.0630,-0.6300,-0.6695,-0.1138,NaN,NaN,0.2350,-1.4900,0.0274
1952,4,0.2200,-1.0500,-0.4337,0.4757,NaN,NaN,0.1960,1.0100,0.0852
1952,5,-0.3090,-1.0000,-0.6265,0.2427,NaN,NaN,0.1860,-1.1200,-0.1591
1952,6,-0.7230,-1.4300,-0.9727,0.0156,NaN,NaN,0.3880,-0.4000,-0.1371
1952,7,-0.3160,-1.2500,-1.3356,0.1105,NaN,NaN,0.3770,-0.0900,-0.3888
1952,8,-0.3780,-0.6000,-0.8974,0.0405,NaN,NaN,0.4090,-0.2800,-0.4405
1952,9,0.3130,-0.8900,-0.5826,0.4055,NaN,NaN,0.3670,-0.5400,-0.1390
1952,10,0.2750,-0.3500,-0.2578,0.1594,NaN,NaN,0.3590,-0.7300,-0.0439
1952,11,-0.3490,-0.7600,-0.3162,0.1133,NaN,NaN,0.2550,-1.1300,-0.2515
1952,12,-0.1240,0.0400,0.8451,0.0823,NaN,NaN,0.3450,-0.4300,-0.4150
1953,1,0.0300,-0.5700,0.9440,0.4796,NaN,NaN,0.2700,0.3300,-0.3386
1953,2,0.3770,-0.0700,0.7480,-0.1486,NaN,NaN,0.1900,-0.4900,-0.4693
1953,3,0.2560,-1.1200,1.2173,0.0529,NaN,NaN,0.1460,-0.0400,-0.1732
1953,4,0.6820,0.0500,1.2502,0.1977,NaN,NaN,0.3180,-1.6700,-0.2011
1953,5,0.7840,0.4300,1.2707,-0.0584,NaN,NaN,0.3470,-0.6600,-0.3286
1953,6,0.2180,0.2900,1.0567,0.1383,NaN,NaN,0.2800,1.0900,-0.1729
1953,7,0.3680,0.7400,1.0408,0.1631,NaN,NaN,0.3490,0.4000,-0.0419
1953,8,0.2130,0.0500,0.6189,0.0255,NaN,NaN,0.2630,-0.7100,-0.0917
1953,9,0.5010,-0.6300,0.2907,0.2229,NaN,NaN,0.2850,-0.3500,0.0008
1953,10,0.0930,-1.0900,1.0815,0.1204,NaN,NaN,0.1530,1.3200,-0.1220
1953,11,0.0750,-0.0300,2.0496,0.2732,NaN,NaN,0.2490,1.0400,-0.2652
1953,12,0.3240,0.0700,1.4190,-0.0019,NaN,NaN,0.2630,-0.4700,-0.3913
1954,1,-0.0510,-1.3200,1.0940,0.6747,NaN,NaN,0.2320,0.3700,-0.4223
1954,2,-0.0480,-1.6100,1.1565,0.3401,NaN,NaN,0.1000,0.7400,-0.4955
1954,3,0.1620,-0.5200,0.0794,0.3630,NaN,NaN,0.1060,-0.8300,-0.4501
1954,4,-0.5670,-1.3300,-0.3725,0.9220,NaN,NaN,-0.0080,1.3400,-0.6750
1954,5,-1.4160,0.0100,-0.1640,0.7858,NaN,NaN,0.0750,-0.0900,-0.8270
1954,6,-1.5640,0.9700,0.1784,0.3374,NaN,NaN,0.1040,-0.2500,-0.9976
1954,7,-1.3780,0.4300,-0.0352,0.2334,NaN,NaN,-0.0400,-0.6000,-0.9901
1954,8,-1.4710,0.0800,-0.1315,0.0300,NaN,NaN,-0.0090,-1.9000,-0.6557
1954,9,-1.1660,-0.9400,-0.2628,0.2412,NaN,NaN,-0.0060,-0.4400,-0.3360
1954,10,-1.3480,0.5200,0.1838,0.2758,NaN,NaN,-0.0270,0.6000,0.1283
1954,11,-1.1400,0.7200,0.3547,-0.0889,NaN,NaN,-0.0220,0.4000,0.0555
1954,12,-1.1130,-0.5000,0.4041,0.3147,NaN,NaN,-0.0460,0.6900,0.0054
1955,1,-0.7620,0.2000,0.3262,-0.1961,NaN,NaN,0.0810,-1.8400,-0.2177
1955,2,-0.6970,-1.5200,-0.2493,-0.4099,NaN,NaN,0.0450,-1.1200,-0.2830
1955,3,-1.1520,-1.2600,-0.2160,-0.1906,NaN,NaN,0.0460,-0.5300,-0.3713
1955,4,-1.6340,-1.9700,0.0407,-0.3082,NaN,NaN,0.1000,-0.4200,-0.2798
1955,5,-1.6420,-1.2100,0.2614,0.0534,NaN,NaN,0.1810,-0.3400,-0.3073
1955,6,-2.2430,-2.4400,-0.0159,0.1427,NaN,NaN,0.1990,-1.1000,-0.3639
1955,7,-1.9980,-2.3500,-0.0880,-0.3648,NaN,NaN,0.2730,1.7600,-0.5007
1955,8,-2.0730,-2.2500,0.2745,-0.2697,NaN,NaN,0.1800,1.0700,-0.5235
1955,9,-1.8230,-1.9500,-0.1102,-0.2068,NaN,NaN,0.2080,0.3200,-0.1126
1955,10,-1.7530,-2.8000,-0.5242,-0.3913,NaN,NaN,0.2840,-1.4700,-0.1448
1955,11,-1.8410,-3.0800,-0.0800,-0.2490,NaN,NaN,0.3910,-1.2900,0.0582
